epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,426.479,1.19639,0.82731,0.01385,0.79669,0.61858,0.64048,0.33769,1.57501,1.52055,0.03233,0.00071295,0.00071295,0.00071295
161,429.077,1.17615,0.83811,0.01417,0.81636,0.60779,0.65809,0.33449,1.60031,1.47626,0.03265,0.000708,0.000708,0.000708
162,431.58,1.1861,0.82656,0.01353,0.75146,0.61518,0.64601,0.34174,1.61854,1.41776,0.03337,0.00070305,0.00070305,0.00070305
163,434.031,1.18183,0.8689,0.0145,0.77288,0.5849,0.65169,0.33733,1.70971,1.3452,0.0363,0.0006981,0.0006981,0.0006981
164,436.407,1.22161,0.8794,0.01435,0.72526,0.59991,0.63543,0.32908,1.67509,1.31188,0.03391,0.00069315,0.00069315,0.00069315
165,438.843,1.16752,0.80388,0.01396,0.73759,0.58497,0.65618,0.34444,1.62761,1.34954,0.0322,0.0006882,0.0006882,0.0006882
166,441.458,1.18272,0.84225,0.01407,0.70373,0.655,0.67145,0.339,1.64512,1.32819,0.03339,0.00068325,0.00068325,0.00068325
167,443.98,1.1954,0.83672,0.01449,0.7627,0.6746,0.70152,0.34888,1.66741,1.24435,0.033,0.0006783,0.0006783,0.0006783
168,446.521,1.16733,0.73064,0.01335,0.7696,0.65733,0.68513,0.37795,1.52988,1.30291,0.02998,0.00067335,0.00067335,0.00067335
169,449.239,1.18888,0.85332,0.01366,0.75714,0.6351,0.67152,0.36329,1.64566,1.30841,0.03245,0.0006684,0.0006684,0.0006684
170,451.734,1.16175,0.806,0.01393,0.82608,0.5761,0.66886,0.34901,1.64561,1.36223,0.03182,0.00066345,0.00066345,0.00066345
171,454.303,1.17672,0.7813,0.01357,0.73181,0.5764,0.63829,0.34352,1.5716,1.39554,0.03065,0.0006585,0.0006585,0.0006585
172,456.988,1.17441,0.82393,0.01496,0.71926,0.58043,0.64542,0.32922,1.72256,1.38017,0.03452,0.00065355,0.00065355,0.00065355
173,459.492,1.16758,0.90283,0.01457,0.75163,0.60954,0.69021,0.35735,1.62635,1.3183,0.03235,0.0006486,0.0006486,0.0006486
174,461.966,1.15414,0.76591,0.01368,0.71756,0.70249,0.69634,0.36084,1.57121,1.26559,0.03063,0.00064365,0.00064365,0.00064365
175,464.485,1.16908,0.85165,0.01342,0.80811,0.65104,0.70862,0.3659,1.61546,1.30703,0.03167,0.0006387,0.0006387,0.0006387
176,467.074,1.12387,0.81765,0.01299,0.82355,0.6162,0.67713,0.35798,1.59483,1.41197,0.03175,0.00063375,0.00063375,0.00063375
177,469.732,1.10037,0.80741,0.01377,0.73662,0.63616,0.65112,0.33484,1.59665,1.4588,0.03225,0.0006288,0.0006288,0.0006288
178,472.235,1.12618,0.81069,0.01322,0.73271,0.65188,0.64535,0.33732,1.5446,1.43502,0.03007,0.00062385,0.00062385,0.00062385
179,474.792,1.19163,0.81327,0.01391,0.75215,0.65406,0.67485,0.36649,1.5641,1.3187,0.03121,0.0006189,0.0006189,0.0006189
